qid,gold_axis,role,model,pred_axis,latency_ms,cached,raw_text
q01,A,router_fast,DeepSeek-V4-Flash,A,2087,True,"AXIS: A REASON: Query directly asks about plasma Aβ42/Aβ40 ratio, a biomarker for amyloid pathology."
q01,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,6901,True,"AXIS: A   REASON: The query directly references plasma Aβ42/Aβ40 ratio, a core amyloid biomarker."
q01,A,teacher_medical,Baichuan-M3-Plus,A,9484,True,"AXIS: A   REASON: The query directly references the **plasma Aβ42/Aβ40 ratio**, a key biomarker for cerebral amyloid pathology, which is central to the amyloid (A) axis. This ratio is **reduced in individuals with positive amyloid PET findings** and correlates with CSF amyloid measurements and brain amyloid deposition ^[3]^.  Notably, the **plasma Aβ42/Aβ40 ratio is more strongly associated with amyloid deposition** than individual Aβ42 or Aβ40 values ^[3]^, and it demonstrates **high diagnostic"
q02,A,router_fast,DeepSeek-V4-Flash,A,7848,True,"AXIS: A REASON: Amyloid PET directly measures amyloid plaque deposition, core to Amyloid axis."
q02,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,1248,True,"AXIS: A   REASON: Amyloid PET directly measures amyloid-beta plaque deposition, a core feature of amyloid pathology."
q02,A,teacher_medical,Baichuan-M3-Plus,A,9608,True,"AXIS: A   REASON: Amyloid PET directly measures **fibrillar amyloid plaque deposition** in the brain, a core pathological feature of Alzheimer's disease ^[3]^, making it a direct in vivo biomarker for Aβ pathology. The technique visualizes aggregated Aβ plaques, distinguishing it from fluid biomarkers that measure soluble forms like Aβ42 or p-tau ^[7]^.  Notably, **amyloid PET provides information on the magnitude and spatial distribution of fibrillar amyloid plaque deposition** ^[6]^, which is "
q03,A,router_fast,DeepSeek-V4-Flash,A,16424,True,"AXIS: A   REASON: Query focuses on cerebral Aβ plaque deposition, a core amyloid pathology."
q03,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,5887,True,"AXIS: A   REASON: The query directly focuses on Aβ plaque deposition, a core amyloid biomarker in preclinical AD."
q03,A,teacher_medical,Baichuan-M3-Plus,A,14002,True,"AXIS: A   REASON: The query directly focuses on **cerebral Aβ plaque deposition**, a core feature of amyloid pathology, which is central to the **A** axis in the ATN framework ^[2]^ ^[5]^.  The presence of **Aβ aggregates in the form of extracellular senile plaques** is described as one of the key neuropathological hallmarks of Alzheimer's disease ^[5]^, and **Aβ deposition is regarded as the initial factor in the pathogenesis of AD** ^[8]^.  Notably, **progressive accumulation of fibrillar amyl"
q04,A,router_fast,DeepSeek-V4-Flash,A,2894,True,"AXIS: A REASON: Directly queries Aβ42 discordance between plasma and CSF, an amyloid biomarker issue."
q04,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,1413,True,"AXIS: A   REASON: The query focuses on plasma and CSF Aβ42 levels, which are core amyloid biomarkers."
q04,A,teacher_medical,Baichuan-M3-Plus,A,10938,True,"AXIS: A   REASON: The query directly addresses **plasma and CSF Aβ42 levels**, which are core biomarkers under the **Amyloid (A) axis**, focusing on mechanistic discordance in Aβ42 measurements between biofluids.    The reduction in plasma Aβ42 with normal CSF Aβ42 may reflect **peripheral contributions to plasma Aβ** that are not directly tied to central amyloid pathology. As noted, **plasma Aβ levels are influenced by peripheral sources**, including platelet-derived Aβ and renal clearance, whi"
q05,A,router_fast,DeepSeek-V4-Flash,A,6260,True,"AXIS: A REASON: Directly asks about Aβ accumulation, the core amyloid pathology in Alzheimer's disease."
q05,A,teacher_premium,Qwen3-235B-A22B-Instruct-2507,A,15234,True,"AXIS: A   REASON: The query directly references Aβ accumulation, a core amyloid pathology in Alzheimer's disease."
q05,A,teacher_medical,Baichuan-M3-Plus,A,12152,True,"AXIS: A   REASON: Aβ accumulation is considered the **earliest event in the pathophysiological cascade** of Alzheimer's disease, preceding tau aggregation and neurodegeneration by decades ^[1]^.  According to the amyloid cascade hypothesis, **Aβ deposition begins up to two decades before symptom onset** ^[3]^, initially accumulating in cortical areas with high metabolic activity such as the **precuneus, medial orbitofrontal, and posterior cingulate cortices** ^[3]^.  Notably, **Aβ pathology may "
q06,T,router_fast,DeepSeek-V4-Flash,T,2352,True,"AXIS: T REASON: p-tau217 is a specific tau biomarker, directly indicating tau pathology."
q06,T,teacher_premium,Qwen3-235B-A22B-Instruct-2507,T,1391,True,"AXIS: T   REASON: The query directly references plasma p-tau217, a specific biomarker of tau pathology."
