pair_id,role,model,label,latency_ms,cached,raw_text
p01,router_fast,DeepSeek-V4-Flash,UNCERTAIN,25253,False,"LABEL: UNCERTAIN REASON: Evidence compares p-tau217 to only two other biomarkers, not all blood biomarkers, so cannot confirm it is the most accurate overall."
p01,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,2387,True,"LABEL: SUPPORT   REASON: The evidence shows p-tau217 outperformed other p-tau variants in detecting AD tau pathology, with higher AUC values indicating superior accuracy."
p01,teacher_medical,Baichuan-M3-Plus,SUPPORT,6472,True,"LABEL: **SUPPORT**   REASON: The evidence shows plasma p-tau217 outperforms other p-tau isoforms with an AUC of 0.943, indicating superior accuracy in distinguishing AD from non-AD neurodegenerative diseases.  我建议您进一步查阅血浆p-tau217在早期阿尔茨海默病筛查中的长期预测效能及与其他生物标志物的联合应用价值，您需要我帮您检索相关临床研究或指南吗？"
p02,router_fast,DeepSeek-V4-Flash,REFUTE,6821,False,LABEL: REFUTE REASON: Evidence says ratio is recommended over Aβ42 alone due to lower specificity.
p02,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1537,True,"LABEL: REFUTE   REASON: Evidence states Aβ42 alone has lower specificity and recommends Aβ42/Aβ40 ratio instead, contradicting sufficiency of Aβ42 alone."
p02,teacher_medical,Baichuan-M3-Plus,REFUTE,6501,True,"**LABEL: REFUTE**   **REASON:** The evidence states that **absolute Aβ42 has higher inter-individual variability and lower specificity**, and that frameworks recommend the **Aβ42/Aβ40 ratio rather than Aβ42 alone**, directly contradicting the claim that Aβ42 alone is sufficient."
p03,router_fast,DeepSeek-V4-Flash,SUPPORT,12278,False,"LABEL: SUPPORT REASON: Evidence states heterozygotes have 3.2-fold risk, approximately 3-fold per allele, supporting the claim."
p03,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,4926,True,"LABEL: SUPPORT   REASON: The evidence reports a 3.2-fold AD risk for APOE ε4 heterozygotes, closely matching the claimed ~3-fold increase per allele."
p03,teacher_medical,Baichuan-M3-Plus,SUPPORT,6510,True,"LABEL: SUPPORT   REASON: The evidence reports a 3.2-fold increased risk for APOE ε4 heterozygotes, which aligns closely with the claim of approximately 3-fold increased risk per allele ^[2]^ ^[4]^ ^[6]^."
p04,router_fast,DeepSeek-V4-Flash,REFUTE,2281,False,"LABEL: REFUTE REASON: Evidence reports MMSE sensitivity below 50% for preclinical AD, contradicting ""high sensitivity."""
p04,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1353,True,"LABEL: REFUTE   REASON: Evidence states MMSE sensitivity is below 50% for preclinical AD, directly contradicting the claim of ""high sensitivity."""
p04,teacher_medical,Baichuan-M3-Plus,REFUTE,7320,True,"**LABEL:** REFUTE   **REASON:** The evidence states that MMSE sensitivity is below 50% for MCI and preclinical AD, directly contradicting the claim of ""high sensitivity"" for preclinical Alzheimer's disease."
